words,Parts of speech,Number of word meanings,word meaning sequence number,Sentiment classification,strength,polarity,polar weight
messy,adj,1,1,Blameworthy,7,2,2
bad news,adj,1,1,Blameworthy,5,2,2
premature aging,adj,1,1,Undesirable,5,2,2
blame,verb,1,1,Blameworthy,5,2,2
thieving eyes,noun,1,1,Blameworthy,5,2,2
inviting disaster,adj,1,1,Blameworthy,5,2,2
humiliate,noun,1,1,Undesirable,5,2,2
zhongshan wolf,noun,1,1,Blameworthy,5,2,2
qingjun,adj,1,1,Praiseworthy,5,0,1
qingying,adj,1,1,Praiseworthy,5,1,2
qingqian,adj,1,1,Praiseworthy,5,1,2
sunny,adj,1,1,Praiseworthy,5,1,2
seek,adj,1,1,Praiseworthy,3,1,2
upsurge,noun,1,1,Praiseworthy,5,1,2
benevolent government,noun,1,1,Praiseworthy,5,1,2
honorable name,noun,1,1,Praiseworthy,5,1,2
ruixue,noun,1,1,Desirable,5,1,2
look,adj,1,1,Desirable,5,1,2
save convenience,adj,1,1,Praiseworthy,5,1,2
bloom,verb,1,1,Praiseworthy,5,1,2
reputation,noun,1,1,Praiseworthy,5,1,2
shixian,noun,1,1,Praiseworthy,7,1,2
crisp,adj,1,1,Praiseworthy,5,1,2
sujie,adj,1,1,Praiseworthy,3,1,2
expose,verb,1,1,Blameworthy,5,2,2
implicated,verb,1,1,Blameworthy,7,2,2
crashed,verb,1,1,Undesirable,5,2,2
breed,verb,1,1,Blameworthy,5,2,2
self-reliance,verb,1,1,Blameworthy,5,2,2
resistance,noun,1,1,Blameworthy,3,2,2
guilt,noun,1,1,Blameworthy,9,2,2
sweetness,noun,1,1,Desirable,5,1,2
top name,noun,1,1,Praiseworthy,5,1,2
graceful,adj,1,1,Praiseworthy,3,1,2
wen shu,adj,1,1,Desirable,1,1,2
fertile soil,adj,1,1,Praiseworthy,5,1,2
supreme,adj,1,1,Praiseworthy,5,1,2
gratifying,noun,1,1,Desirable,5,1,2
sages,noun,1,1,Praiseworthy,5,1,2
xian yan,adj,1,1,Praiseworthy,5,1,2
proportionate,adj,1,1,Praiseworthy,5,1,2
xiaoqi,adj,1,1,Praiseworthy,3,1,2
novelty,adj,1,1,Praiseworthy,5,1,2
believe,adj,1,1,Confirmed,5,1,2
quick wit,noun,1,1,Praiseworthy,3,1,2
skill,noun,1,1,Praiseworthy,3,1,2
vigorous,adj,1,1,Praiseworthy,3,1,2
xiongsi,adj,1,1,Praiseworthy,3,1,2
xiujun,adj,1,1,Praiseworthy,5,1,2
xu xu,adj,1,1,Praiseworthy,5,1,2
exploit,adj,1,1,Praiseworthy,5,1,2
yaxing,adj,1,1,Praiseworthy,5,1,2
strict,adj,1,1,Praiseworthy,5,1,2
yangyang,adj,1,1,Praiseworthy,5,1,2
